arquivo_memora;simbolo_google_material_symbols
home.svg;home
arrow-left.svg;arrow_back
arrow-right.svg;arrow_forward
x.svg;close
menu.svg;menu
more-vertical.svg;more_vert
chevron-down.svg;expand_more
chevron-up.svg;expand_less
settings.svg;settings
user.svg;person
log-in.svg;login
log-out.svg;logout
mail.svg;mail
lock.svg;lock
eye.svg;visibility
eye-off.svg;visibility_off
key.svg;key
badge-check.svg;verified
album.svg;photo_album
album-plus.svg;add_to_photos
edit.svg;edit
trash.svg;delete
image-cover.svg;wallpaper
images.svg;photo_library
users.svg;group
circle-info.svg;info
image.svg;image
video.svg;videocam
file.svg;description
plus.svg;add
upload.svg;upload
download.svg;download
upload-cloud.svg;cloud_upload
pause.svg;pause
play.svg;play_arrow
refresh.svg;refresh
circle-x.svg;cancel
circle-check.svg;check_circle
loader.svg;progress_activity
grid.svg;grid_view
list.svg;view_list
search.svg;search
filter.svg;filter_list
sort.svg;sort
check-square.svg;check_box
check-all.svg;select_all
volume.svg;volume_up
volume-off.svg;volume_off
maximize.svg;fullscreen
minimize.svg;fullscreen_exit
chevron-left.svg;chevron_left
chevron-right.svg;chevron_right
zoom-in.svg;zoom_in
zoom-out.svg;zoom_out
fit-screen.svg;fit_screen
share.svg;share
link.svg;link
copy.svg;content_copy
clipboard-check.svg;assignment_turned_in
user-plus.svg;person_add
user-minus.svg;person_remove
shield.svg;shield
triangle-alert.svg;warning
wifi.svg;wifi
wifi-off.svg;wifi_off
cloud-check.svg;cloud_done
clock.svg;schedule
